Raw;Country;RegionType;Region;CountyType;County;Included;LocalityType;Locality;StreetType;Street;HousingType;Housing;HostelType;Hostel;HouseNumberType;HouseNumber;HouseNumberAdditionally;SectionType;Section;ApartmentType;Apartment;RoomType;Room;Sector;FloorType;Floor;PostCode;Manually;NotAddress;Comment;AdditionalData
дніпропетровська 53200 нікопольський нікополь барнаульська 30 10;;;[{'start': 0, 'end': 16}];;[{'start': 23, 'end': 36}];;;[{'start': 37, 'end': 45}];;[{'start': 46, 'end': 58}];;;;;;[{'start': 59, 'end': 61}];;;;;[{'start': 62, 'end': 64}];;;;;;[{'start': 17, 'end': 22}];;;;
сумська 40000 м. суми вул. сумсько-київських дивізій 10 8;;;[{'start': 0, 'end': 7}];;;;[{'start': 14, 'end': 16}];[{'start': 17, 'end': 21}];[{'start': 22, 'end': 26}];[{'start': 27, 'end': 44}, {'start': 45, 'end': 52}];;;;;;[{'start': 53, 'end': 55}];;;;;[{'start': 56, 'end': 57}];;;;;;[{'start': 8, 'end': 13}];;;;
івано-франківська 71611 запорізький степногірськ вулиця сухоіванівська 1 42;;;[{'start': 0, 'end': 17}];;[{'start': 24, 'end': 35}];;;[{'start': 36, 'end': 48}];[{'start': 49, 'end': 55}];[{'start': 56, 'end': 70}];;;;;;[{'start': 71, 'end': 72}];;;;;[{'start': 73, 'end': 75}];;;;;;[{'start': 18, 'end': 23}];;;;
дніпропетровська 49021 ленінський м. дніпро вул. каляєва буд 94 кв не існує;;;[{'start': 0, 'end': 16}];;[{'start': 23, 'end': 33}];;[{'start': 34, 'end': 36}];[{'start': 37, 'end': 43}];[{'start': 44, 'end': 48}];[{'start': 49, 'end': 56}];;;;;[{'start': 57, 'end': 60}];[{'start': 61, 'end': 63}];;;;[{'start': 64, 'end': 66}];;;;;;;[{'start': 17, 'end': 22}];;;[{'start': 67, 'end': 69}, {'start': 70, 'end': 75}];
луганська станично-луганський с. плотина вул. першотравнева 50 буд. кв. 1001;;;[{'start': 0, 'end': 9}];;[{'start': 10, 'end': 29}];;[{'start': 30, 'end': 32}];[{'start': 33, 'end': 40}];[{'start': 41, 'end': 45}];[{'start': 46, 'end': 59}];;;;;[{'start': 63, 'end': 67}];[{'start': 60, 'end': 62}];;;;[{'start': 68, 'end': 71}];[{'start': 72, 'end': 76}];;;;;;;;;;
київська 02090 м. київ виборзька 75/79 кв. 114;;;[{'start': 0, 'end': 8}];;;;[{'start': 15, 'end': 17}];[{'start': 18, 'end': 22}];;[{'start': 23, 'end': 32}];;;;;;[{'start': 33, 'end': 38}];;;;[{'start': 39, 'end': 42}];[{'start': 43, 'end': 46}];;;;;;[{'start': 9, 'end': 14}];;;;
дніпропетровська 52610 с-ще васильківка пров. будьонного 5 1;;;[{'start': 0, 'end': 16}];;;;[{'start': 23, 'end': 27}];[{'start': 28, 'end': 39}];[{'start': 40, 'end': 45}];[{'start': 46, 'end': 56}];;;;;;[{'start': 57, 'end': 58}];;;;;[{'start': 59, 'end': 60}];;;;;;[{'start': 17, 'end': 22}];;;;
київ київ ярослава гашика буд. 15 кв. кім 11 1014;;;[{'start': 0, 'end': 4}];;;;;[{'start': 5, 'end': 9}];;[{'start': 10, 'end': 18}, {'start': 19, 'end': 25}];;;;;[{'start': 26, 'end': 30}];[{'start': 31, 'end': 33}];;;;[{'start': 34, 'end': 37}, {'start': 38, 'end': 41}];[{'start': 42, 'end': 44}];;;;;;;[{'start': 45, 'end': 49}];;;
донецька 87500 маріуполь маріуполь пр. м. жукова 60 11;;;[{'start': 0, 'end': 8}];;[{'start': 15, 'end': 24}];;;[{'start': 25, 'end': 34}];[{'start': 35, 'end': 38}];[{'start': 39, 'end': 41}, {'start': 42, 'end': 48}];;;;;;[{'start': 49, 'end': 51}];;;;;[{'start': 52, 'end': 54}];;;;;;[{'start': 9, 'end': 14}];;;;
чернігівська 11117 козелецький смт. козелець вул. чапаєва буд. 43 в/б;;;[{'start': 0, 'end': 12}];;[{'start': 19, 'end': 30}];;[{'start': 31, 'end': 35}];[{'start': 36, 'end': 44}];[{'start': 45, 'end': 49}];[{'start': 50, 'end': 57}];;;;;[{'start': 58, 'end': 62}];[{'start': 63, 'end': 65}];;;;;;;;;;;[{'start': 13, 'end': 18}];;;[{'start': 66, 'end': 69}];
київська 02090 м. київ таращанським рв гу мвс україни в київській обл.;;;[{'start': 0, 'end': 8}];;;;[{'start': 15, 'end': 17}];[{'start': 18, 'end': 22}];;;;;;;;;;;;;;;;;;;[{'start': 9, 'end': 14}];;;[{'start': 23, 'end': 35}, {'start': 36, 'end': 38}, {'start': 39, 'end': 41}, {'start': 42, 'end': 45}, {'start': 46, 'end': 53}, {'start': 54, 'end': 55}, {'start': 56, 'end': 65}, {'start': 66, 'end': 70}];
херсонська 73002 херсон херсон вулиця ст разіна 75 234;;;[{'start': 0, 'end': 10}];;[{'start': 17, 'end': 23}];;;[{'start': 24, 'end': 30}];[{'start': 31, 'end': 37}];[{'start': 38, 'end': 40}, {'start': 41, 'end': 47}];;;;;;[{'start': 48, 'end': 50}];;;;;[{'start': 51, 'end': 54}];;;;;;[{'start': 11, 'end': 16}];;;;
дніпропетровська 49000 дніпро курська 44;;;[{'start': 0, 'end': 16}];;;;;[{'start': 23, 'end': 29}];;[{'start': 30, 'end': 37}];;;;;;[{'start': 38, 'end': 40}];;;;;;;;;;;[{'start': 17, 'end': 22}];;;;
донецька 52640 мар’їнський павлівка провулок садовий 1;;;[{'start': 0, 'end': 8}];;[{'start': 15, 'end': 26}];;;[{'start': 27, 'end': 35}];[{'start': 36, 'end': 44}];[{'start': 45, 'end': 52}];;;;;;[{'start': 53, 'end': 54}];;;;;;;;;;;[{'start': 9, 'end': 14}];;;;
харківська 61000 харків вул. руднева дом № буд. 32 кв. кв. 37;;;[{'start': 0, 'end': 10}];;;;;[{'start': 17, 'end': 23}];[{'start': 24, 'end': 28}];[{'start': 29, 'end': 36}];;;;;[{'start': 37, 'end': 40}, {'start': 41, 'end': 42}, {'start': 43, 'end': 47}];[{'start': 48, 'end': 50}];;;;[{'start': 51, 'end': 54}, {'start': 55, 'end': 58}];[{'start': 59, 'end': 61}];;;;;;[{'start': 11, 'end': 16}];;;;
дніпропетровська 51900 баглійський м. кам’янське (дніпродзе вул. казанська 39 а;;;[{'start': 0, 'end': 16}];;[{'start': 23, 'end': 34}];;[{'start': 35, 'end': 37}];[{'start': 38, 'end': 48}];[{'start': 60, 'end': 64}];[{'start': 65, 'end': 74}];;;;;;[{'start': 75, 'end': 77}, {'start': 78, 'end': 79}];;;;;;;;;;;[{'start': 17, 'end': 22}];;;;[{'start': 49, 'end': 59}]
київ 02090 м. київ драйзера 5 кв. 68 кім. 209;;;[{'start': 0, 'end': 4}];;;;[{'start': 11, 'end': 13}];[{'start': 14, 'end': 18}];;[{'start': 19, 'end': 27}];;;;;;[{'start': 28, 'end': 29}];;;;[{'start': 30, 'end': 33}];[{'start': 34, 'end': 36}];[{'start': 37, 'end': 41}];[{'start': 42, 'end': 45}];;;;[{'start': 5, 'end': 10}];;;;
запорізька 69000 орджонікідзевський м. запоріжжя вул. сорок років рад. україни буд. 64 кім. 34;;;[{'start': 0, 'end': 10}];;[{'start': 17, 'end': 35}];;[{'start': 36, 'end': 38}];[{'start': 39, 'end': 48}];[{'start': 49, 'end': 53}];[{'start': 54, 'end': 59}, {'start': 60, 'end': 65}, {'start': 66, 'end': 70}, {'start': 71, 'end': 78}];;;;;[{'start': 79, 'end': 83}];[{'start': 84, 'end': 86}];;;;[{'start': 87, 'end': 91}];[{'start': 92, 'end': 94}];;;;;;[{'start': 11, 'end': 16}];;;;
дніпропетровська 49000 дніпропетровський днепропетровский р-н будівельників буд. 14 б кв. 2-а;;;[{'start': 0, 'end': 16}];[{'start': 58, 'end': 61}];[{'start': 23, 'end': 40}];;;[{'start': 41, 'end': 57}];;[{'start': 62, 'end': 75}];;;;;[{'start': 76, 'end': 80}];[{'start': 81, 'end': 83}, {'start': 84, 'end': 85}];;;;[{'start': 86, 'end': 89}];[{'start': 90, 'end': 93}];;;;;;[{'start': 17, 'end': 22}];;;;
харківська 61000 комінтернівський м. харків вул. танкопія 10/139;;;[{'start': 0, 'end': 10}];;[{'start': 17, 'end': 33}];;[{'start': 34, 'end': 36}];[{'start': 37, 'end': 43}];[{'start': 44, 'end': 48}];[{'start': 49, 'end': 57}];;;;;;[{'start': 58, 'end': 64}];;;;;;;;;;;[{'start': 11, 'end': 16}];;;;
дніпропетровська 49000 жовтневий дніпро п-рт. к. маркса 3 50;;;[{'start': 0, 'end': 16}];;[{'start': 23, 'end': 32}];;;[{'start': 33, 'end': 39}];[{'start': 40, 'end': 45}];[{'start': 46, 'end': 48}, {'start': 49, 'end': 55}];;;;;;[{'start': 56, 'end': 57}];;;;;[{'start': 58, 'end': 60}];;;;;;[{'start': 17, 'end': 22}];;;;
одеська 67844 овідіопольський кароліно-бугаз вул. приморська 101;;;[{'start': 0, 'end': 7}];;[{'start': 14, 'end': 29}];;;[{'start': 30, 'end': 44}];[{'start': 45, 'end': 49}];[{'start': 50, 'end': 60}];;;;;;[{'start': 61, 'end': 64}];;;;;;;;;;;[{'start': 8, 'end': 13}];;;;
чернівецька 01001 новодністровськ м-н. діброва 1 б 53;;;[{'start': 0, 'end': 11}];;;;;[{'start': 18, 'end': 33}];[{'start': 34, 'end': 38}];[{'start': 39, 'end': 46}];;;;;;[{'start': 47, 'end': 48}, {'start': 49, 'end': 50}];;;;;[{'start': 51, 'end': 53}];;;;;;[{'start': 12, 'end': 17}];;;;
дніпропетровська 53200 п. максимівка вул. нікопольська 6;;;[{'start': 0, 'end': 16}];;;;[{'start': 23, 'end': 25}];[{'start': 26, 'end': 36}];[{'start': 37, 'end': 41}];[{'start': 42, 'end': 54}];;;;;;[{'start': 55, 'end': 56}];;;;;;;;;;;[{'start': 17, 'end': 22}];;;;
херсонська 75630 голопристанський с. стара збур’ївка вул. ворошилова 18;;;[{'start': 0, 'end': 10}];;[{'start': 17, 'end': 33}];;[{'start': 34, 'end': 36}];[{'start': 37, 'end': 42}, {'start': 43, 'end': 52}];[{'start': 53, 'end': 57}];[{'start': 58, 'end': 68}];;;;;;[{'start': 69, 'end': 71}];;;;;;;;;;;[{'start': 11, 'end': 16}];;;;
дніпропетровська 53225 нікопольський м. нікополь вул. слав’янська 229 а;;;[{'start': 0, 'end': 16}];;[{'start': 23, 'end': 36}];;[{'start': 37, 'end': 39}];[{'start': 40, 'end': 48}];[{'start': 49, 'end': 53}];[{'start': 54, 'end': 65}];;;;;;[{'start': 66, 'end': 69}, {'start': 70, 'end': 71}];;;;;;;;;;;[{'start': 17, 'end': 22}];;;;
дніпропетровська 49000 амур-нижньодніпровський дніпро вул. дівоча 8 6 а;;;[{'start': 0, 'end': 16}];;[{'start': 23, 'end': 46}];;;[{'start': 47, 'end': 53}];[{'start': 54, 'end': 58}];[{'start': 59, 'end': 65}];;;;;;[{'start': 66, 'end': 67}];;;;;[{'start': 68, 'end': 69}, {'start': 70, 'end': 71}];;;;;;[{'start': 17, 'end': 22}];;;;
одеська 65001 одеса одеса ак. корольова 71 65;;;[{'start': 0, 'end': 7}];;[{'start': 14, 'end': 19}];;;[{'start': 20, 'end': 25}];;[{'start': 26, 'end': 29}, {'start': 30, 'end': 39}];;;;;;[{'start': 40, 'end': 42}];;;;;[{'start': 43, 'end': 45}];;;;;;[{'start': 8, 'end': 13}];;;;
київська 08623 васильківський смт. калинівка вул. б. хмельницького 30;;;[{'start': 0, 'end': 8}];;[{'start': 15, 'end': 29}];;[{'start': 30, 'end': 34}];[{'start': 35, 'end': 44}];[{'start': 45, 'end': 49}];[{'start': 50, 'end': 52}, {'start': 53, 'end': 66}];;;;;;[{'start': 67, 'end': 69}];;;;;;;;;;;[{'start': 9, 'end': 14}];;;;
дніпропетровська 50000 кривий ріг кривий ріг вул. xxіі п/з’ізду 18 58;;;[{'start': 0, 'end': 16}];;[{'start': 23, 'end': 29}, {'start': 30, 'end': 33}];;;[{'start': 34, 'end': 40}, {'start': 41, 'end': 44}];[{'start': 45, 'end': 49}];[{'start': 50, 'end': 54}, {'start': 55, 'end': 63}];;;;;;[{'start': 64, 'end': 66}];;;;;[{'start': 67, 'end': 69}];;;;;;[{'start': 17, 'end': 22}];;;;
дніпропетровська 53200 нікопольський с. олексіївка вул. б. хмельницького бу 6-а;;;[{'start': 0, 'end': 16}];;[{'start': 23, 'end': 36}];;[{'start': 37, 'end': 39}];[{'start': 40, 'end': 50}];[{'start': 51, 'end': 55}];[{'start': 56, 'end': 58}, {'start': 59, 'end': 72}];;;;;[{'start': 73, 'end': 75}];[{'start': 76, 'end': 79}];;;;;;;;;;;[{'start': 17, 'end': 22}];;;;
дніпропетровська 49000 жовтневий м. дніпро вул. б. слави 3 246;;;[{'start': 0, 'end': 16}];;[{'start': 23, 'end': 32}];;[{'start': 33, 'end': 35}];[{'start': 36, 'end': 42}];[{'start': 43, 'end': 47}];[{'start': 48, 'end': 50}, {'start': 51, 'end': 56}];;;;;;[{'start': 57, 'end': 58}];;;;;[{'start': 59, 'end': 62}];;;;;;[{'start': 17, 'end': 22}];;;;
волинська 50000 кривий ріг кривий ріг вулиця м-н 5 й зарічний 9 13;;;[{'start': 0, 'end': 9}];;[{'start': 16, 'end': 22}, {'start': 23, 'end': 26}];;;[{'start': 27, 'end': 33}, {'start': 34, 'end': 37}];[{'start': 38, 'end': 44}, {'start': 45, 'end': 48}];[{'start': 49, 'end': 50}, {'start': 51, 'end': 52}, {'start': 53, 'end': 61}];;;;;;[{'start': 62, 'end': 63}];;;;;[{'start': 64, 'end': 66}];;;;;;[{'start': 10, 'end': 15}];;;;
дніпропетровська 51200 новомосковський м. новомосковськ пров. тупіковий буд. 15 відсутня.;;;[{'start': 0, 'end': 16}];;[{'start': 23, 'end': 38}];;[{'start': 39, 'end': 41}];[{'start': 42, 'end': 55}];[{'start': 56, 'end': 61}];[{'start': 62, 'end': 71}];;;;;[{'start': 72, 'end': 76}];[{'start': 77, 'end': 79}];;;;;;;;;;;[{'start': 17, 'end': 22}];;;[{'start': 80, 'end': 89}];
хмельницька 61000 харків харків вулиця роганська б. 100 кор б кв. 123;;;[{'start': 0, 'end': 11}];;[{'start': 18, 'end': 24}];;;[{'start': 25, 'end': 31}];[{'start': 32, 'end': 38}];[{'start': 39, 'end': 48}];[{'start': 56, 'end': 59}];[{'start': 60, 'end': 61}];;;[{'start': 49, 'end': 51}];[{'start': 52, 'end': 55}];;;;[{'start': 62, 'end': 65}];[{'start': 66, 'end': 69}];;;;;;[{'start': 12, 'end': 17}];;;;
київська 01100 м. київ вул. в. -стуса буд. № 7 корп. гурт. кв. кім. 708 б;;;[{'start': 0, 'end': 8}];;;;[{'start': 15, 'end': 17}];[{'start': 18, 'end': 22}];[{'start': 23, 'end': 27}];[{'start': 28, 'end': 30}, {'start': 31, 'end': 37}];[{'start': 47, 'end': 52}];;[{'start': 53, 'end': 58}];;[{'start': 38, 'end': 42}, {'start': 43, 'end': 44}];[{'start': 45, 'end': 46}];;;;[{'start': 59, 'end': 62}, {'start': 63, 'end': 67}];[{'start': 68, 'end': 71}, {'start': 72, 'end': 73}];;;;;;[{'start': 9, 'end': 14}];;;;
вінницька 22140 козятинський с. сестринівка вул. садова 28;;;[{'start': 0, 'end': 9}];;[{'start': 16, 'end': 28}];;[{'start': 29, 'end': 31}];[{'start': 32, 'end': 43}];[{'start': 44, 'end': 48}];[{'start': 49, 'end': 55}];;;;;;[{'start': 56, 'end': 58}];;;;;;;;;;;[{'start': 10, 'end': 15}];;;;
дніпропетровська 53275 нікопольський капулівка каховська 44 а;;;[{'start': 0, 'end': 16}];;[{'start': 23, 'end': 36}];;;[{'start': 37, 'end': 46}];;[{'start': 47, 'end': 56}];;;;;;[{'start': 57, 'end': 59}, {'start': 60, 'end': 61}];;;;;;;;;;;[{'start': 17, 'end': 22}];;;;
полтавська 65001 одеса одеса вулиця цветочная б. 15 кв. ч/д;;;[{'start': 0, 'end': 10}];;[{'start': 17, 'end': 22}];;;[{'start': 23, 'end': 28}];[{'start': 29, 'end': 35}];[{'start': 36, 'end': 45}];;;;;[{'start': 46, 'end': 48}];[{'start': 49, 'end': 51}];;;;[{'start': 52, 'end': 55}];;;;;;;[{'start': 11, 'end': 16}];;;[{'start': 56, 'end': 59}];
донецька 50000 кривий ріг кривий ріг проспект перемоги 43 23;;;[{'start': 0, 'end': 8}];;[{'start': 15, 'end': 21}, {'start': 22, 'end': 25}];;;[{'start': 26, 'end': 32}, {'start': 33, 'end': 36}];[{'start': 37, 'end': 45}];[{'start': 46, 'end': 54}];;;;;;[{'start': 55, 'end': 57}];;;;;[{'start': 58, 'end': 60}];;;;;;[{'start': 9, 'end': 14}];;;;
херсонська 75654 голопристанський село. круглоозерка вул. садова 18;;;[{'start': 0, 'end': 10}];;[{'start': 17, 'end': 33}];;[{'start': 34, 'end': 39}];[{'start': 40, 'end': 52}];[{'start': 53, 'end': 57}];[{'start': 58, 'end': 64}];;;;;;[{'start': 65, 'end': 67}];;;;;;;;;;;[{'start': 11, 'end': 16}];;;;
дніпропетровська 49000 м. дніпропетровськ донецьке шосе 129/17;;;[{'start': 0, 'end': 16}];;;;[{'start': 23, 'end': 25}];[{'start': 26, 'end': 41}];[{'start': 51, 'end': 55}];[{'start': 42, 'end': 50}];;;;;;[{'start': 56, 'end': 62}];;;;;;;;;;;[{'start': 17, 'end': 22}];;;;
київ 01001 голосіївський м. київ пр-т 40-річчя жовтня 27 56;;;[{'start': 0, 'end': 4}];;[{'start': 11, 'end': 24}];;[{'start': 25, 'end': 27}];[{'start': 28, 'end': 32}];[{'start': 33, 'end': 37}];[{'start': 38, 'end': 46}, {'start': 47, 'end': 53}];;;;;;[{'start': 54, 'end': 56}];;;;;[{'start': 57, 'end': 59}];;;;;;[{'start': 5, 'end': 10}];;;;
київ 01100 м. київ пр. оболонський. 7-г 54;;;[{'start': 0, 'end': 4}];;;;[{'start': 11, 'end': 13}];[{'start': 14, 'end': 18}];[{'start': 19, 'end': 22}];[{'start': 23, 'end': 35}];;;;;;[{'start': 36, 'end': 39}];;;;;[{'start': 40, 'end': 42}];;;;;;[{'start': 5, 'end': 10}];;;;
київська вишгородський нові петрівці провулок пушкіна буд. 17 кв. 7354;;;[{'start': 0, 'end': 8}];;[{'start': 9, 'end': 22}];;;[{'start': 23, 'end': 27}, {'start': 28, 'end': 36}];[{'start': 37, 'end': 45}];[{'start': 46, 'end': 53}];;;;;[{'start': 54, 'end': 58}];[{'start': 59, 'end': 61}];;;;[{'start': 62, 'end': 65}];;;;;;;[{'start': 66, 'end': 70}];;;;
миколаївська 81139 пустомитівський товщів вулиця немає назви вулиці 103;;;[{'start': 0, 'end': 12}];;[{'start': 19, 'end': 34}];;;[{'start': 35, 'end': 41}];[{'start': 42, 'end': 48}];;;;;;;[{'start': 68, 'end': 71}];;;;;;;;;;;[{'start': 13, 'end': 18}];;;[{'start': 49, 'end': 54}, {'start': 55, 'end': 60}, {'start': 61, 'end': 67}];
донецька 50000 кривий ріг кривий ріг вулиця 22 го п з’їзду 40 19;;;[{'start': 0, 'end': 8}];;[{'start': 15, 'end': 21}, {'start': 22, 'end': 25}];;;[{'start': 26, 'end': 32}, {'start': 33, 'end': 36}];[{'start': 37, 'end': 43}];[{'start': 44, 'end': 46}, {'start': 47, 'end': 49}, {'start': 50, 'end': 51}, {'start': 52, 'end': 58}];;;;;;[{'start': 59, 'end': 61}];;;;;[{'start': 62, 'end': 64}];;;;;;[{'start': 9, 'end': 14}];;;;
львівська 80462 кам’янка-бузький дідилів кн. ольги 42;;;[{'start': 0, 'end': 9}];;[{'start': 16, 'end': 32}];;;[{'start': 33, 'end': 40}];;[{'start': 41, 'end': 44}, {'start': 45, 'end': 50}];;;;;;[{'start': 51, 'end': 53}];;;;;;;;;;;[{'start': 10, 'end': 15}];;;;
полтавська 49000 миргородський м. миргород і. ігнатенка 6/109 110;;;[{'start': 0, 'end': 10}];;[{'start': 17, 'end': 30}];;[{'start': 31, 'end': 33}];[{'start': 34, 'end': 42}];;[{'start': 43, 'end': 45}, {'start': 46, 'end': 55}];;;;;;[{'start': 56, 'end': 61}];;;;;[{'start': 62, 'end': 65}];;;;;;[{'start': 11, 'end': 16}];;;;
сумська 41501 путивльський путивль іоанна путивльського 95 310;;;[{'start': 0, 'end': 7}];;[{'start': 14, 'end': 26}];;;[{'start': 27, 'end': 34}];;[{'start': 35, 'end': 41}, {'start': 42, 'end': 55}];;;;;;[{'start': 56, 'end': 58}];;;;;[{'start': 59, 'end': 62}];;;;;;[{'start': 8, 'end': 13}];;;;
дніпропетровська 49000 м. дніпропетровськ пр-т газ. правда 101 71;;;[{'start': 0, 'end': 16}];;;;[{'start': 23, 'end': 25}];[{'start': 26, 'end': 41}];[{'start': 42, 'end': 46}];[{'start': 47, 'end': 51}, {'start': 52, 'end': 58}];;;;;;[{'start': 59, 'end': 62}];;;;;[{'start': 63, 'end': 65}];;;;;;[{'start': 17, 'end': 22}];;;;
одеська 66706 фрунзівський с. росіянівка без вулиці;;;[{'start': 0, 'end': 7}];;[{'start': 14, 'end': 26}];;[{'start': 27, 'end': 29}];[{'start': 30, 'end': 40}];;;;;;;;;;;;;;;;;;;[{'start': 8, 'end': 13}];;;[{'start': 41, 'end': 44}, {'start': 45, 'end': 51}];
донецька 50000 кривий ріг кривий ріг вулиця адм головко 6 15;;;[{'start': 0, 'end': 8}];;[{'start': 15, 'end': 21}, {'start': 22, 'end': 25}];;;[{'start': 26, 'end': 32}, {'start': 33, 'end': 36}];[{'start': 37, 'end': 43}];[{'start': 44, 'end': 47}, {'start': 48, 'end': 55}];;;;;;[{'start': 56, 'end': 57}];;;;;[{'start': 58, 'end': 60}];;;;;;[{'start': 9, 'end': 14}];;;;
житомирська 01001 м. житомир житомирським мв умвс україни в житомирській обл;;;[{'start': 0, 'end': 11}];;;;[{'start': 18, 'end': 20}];[{'start': 21, 'end': 28}];;;;;;;;;;;;;;;;;;;[{'start': 12, 'end': 17}];;;[{'start': 29, 'end': 41}, {'start': 42, 'end': 44}, {'start': 45, 'end': 49}, {'start': 50, 'end': 57}, {'start': 58, 'end': 59}, {'start': 60, 'end': 72}, {'start': 73, 'end': 76}];
кіровоградська 01001 васильківський київ вулиця ю фучика 13 7;;;[{'start': 0, 'end': 14}];;[{'start': 21, 'end': 35}];;;[{'start': 36, 'end': 40}];[{'start': 41, 'end': 47}];[{'start': 48, 'end': 49}, {'start': 50, 'end': 56}];;;;;;[{'start': 57, 'end': 59}];;;;;[{'start': 60, 'end': 61}];;;;;;[{'start': 15, 'end': 20}];;;;
івано-франківська 77601 рожнятівський рожнятів гагаріна 10 15;;;[{'start': 0, 'end': 17}];;[{'start': 24, 'end': 37}];;;[{'start': 38, 'end': 46}];;[{'start': 47, 'end': 55}];;;;;;[{'start': 56, 'end': 58}];;;;;[{'start': 59, 'end': 61}];;;;;;[{'start': 18, 'end': 23}];;;;
дніпропетровська 49000 м. дніпро г. сталінграда буд 5-а гуртожиток;;;[{'start': 0, 'end': 16}];;;;[{'start': 23, 'end': 25}];[{'start': 26, 'end': 32}];;[{'start': 33, 'end': 35}, {'start': 36, 'end': 47}];;;[{'start': 56, 'end': 66}];;[{'start': 48, 'end': 51}];[{'start': 52, 'end': 55}];;;;;;;;;;;[{'start': 17, 'end': 22}];;;;
дніпропетровська 49000 м. дніпро влу. робоча 24 а 38;;;[{'start': 0, 'end': 16}];;;;[{'start': 23, 'end': 25}];[{'start': 26, 'end': 32}];[{'start': 33, 'end': 37}];[{'start': 38, 'end': 44}];;;;;;[{'start': 45, 'end': 47}, {'start': 48, 'end': 49}];;;;;[{'start': 50, 'end': 52}];;;;;;[{'start': 17, 'end': 22}];;;;
дніпропетровська 51324 юр’ївський водяне леніна 208;;;[{'start': 0, 'end': 16}];;[{'start': 23, 'end': 33}];;;[{'start': 34, 'end': 40}];;[{'start': 41, 'end': 47}];;;;;;[{'start': 48, 'end': 51}];;;;;;;;;;;[{'start': 17, 'end': 22}];;;;
львівська 80400 кам’янка-бузький кам’янка-бузька я. мудрого 42 1;;;[{'start': 0, 'end': 9}];;[{'start': 16, 'end': 32}];;;[{'start': 33, 'end': 48}];;[{'start': 49, 'end': 51}, {'start': 52, 'end': 59}];;;;;;[{'start': 60, 'end': 62}];;;;;[{'start': 63, 'end': 64}];;;;;;[{'start': 10, 'end': 15}];;;;
дніпропетровська 49000 апостолівський дніпропетровськ вулиця михайла максимовича 9 5;;;[{'start': 0, 'end': 16}];;[{'start': 23, 'end': 37}];;;[{'start': 38, 'end': 53}];[{'start': 54, 'end': 60}];[{'start': 61, 'end': 68}, {'start': 69, 'end': 80}];;;;;;[{'start': 81, 'end': 82}];;;;;[{'start': 83, 'end': 84}];;;;;;[{'start': 17, 'end': 22}];;;;
запорізька 71622 василівський верхня криниця вокзальна 49;;;[{'start': 0, 'end': 10}];;[{'start': 17, 'end': 29}];;;[{'start': 30, 'end': 36}, {'start': 37, 'end': 44}];;[{'start': 45, 'end': 54}];;;;;;[{'start': 55, 'end': 57}];;;;;;;;;;;[{'start': 11, 'end': 16}];;;;
луганська 94644 антрацитівський сел. іванівка 1 вул. шкільна 34;;;[{'start': 0, 'end': 9}];;[{'start': 16, 'end': 31}];;[{'start': 32, 'end': 36}];[{'start': 37, 'end': 45}, {'start': 46, 'end': 47}];[{'start': 48, 'end': 52}];[{'start': 53, 'end': 60}];;;;;;[{'start': 61, 'end': 63}];;;;;;;;;;;[{'start': 10, 'end': 15}];;;;
харківська 64201 балаклійський балаклія пров. ніжне-садовий 2 303;;;[{'start': 0, 'end': 10}];;[{'start': 17, 'end': 30}];;;[{'start': 31, 'end': 39}];[{'start': 40, 'end': 45}];[{'start': 46, 'end': 59}];;;;;;[{'start': 60, 'end': 61}];;;;;[{'start': 62, 'end': 65}];;;;;;[{'start': 11, 'end': 16}];;;;
дніпропетровська 11111 м. дніпропетровськ вул. героївсталінграду 46 6;;;[{'start': 0, 'end': 16}];;;;[{'start': 23, 'end': 25}];[{'start': 26, 'end': 41}];[{'start': 42, 'end': 46}];[{'start': 47, 'end': 64}];;;;;;[{'start': 65, 'end': 67}];;;;;[{'start': 68, 'end': 69}];;;;;;[{'start': 17, 'end': 22}];;;;
київ 01001 київ київ лит. вольгемут 4 51;;;[{'start': 0, 'end': 4}];;[{'start': 11, 'end': 15}];;;[{'start': 16, 'end': 20}];;[{'start': 21, 'end': 25}, {'start': 26, 'end': 35}];;;;;;[{'start': 36, 'end': 37}];;;;;[{'start': 38, 'end': 40}];;;;;;[{'start': 5, 'end': 10}];;;;
дніпропетровська 49000 дніпро дніпро вул. агнії барто 19 110;;;[{'start': 0, 'end': 16}];;[{'start': 23, 'end': 29}];;;[{'start': 30, 'end': 36}];[{'start': 37, 'end': 41}];[{'start': 42, 'end': 47}, {'start': 48, 'end': 53}];;;;;;[{'start': 54, 'end': 56}];;;;;[{'start': 57, 'end': 60}];;;;;;[{'start': 17, 'end': 22}];;;;
дніпропетровська 53200 нікопольський м. нікополь пр ударний 35;;;[{'start': 0, 'end': 16}];;[{'start': 23, 'end': 36}];;[{'start': 37, 'end': 39}];[{'start': 40, 'end': 48}];[{'start': 49, 'end': 51}];[{'start': 52, 'end': 59}];;;;;;[{'start': 60, 'end': 62}];;;;;;;;;;;[{'start': 17, 'end': 22}];;;;
дніпропетровська 53200 нікопольський нікополь ел. металургів 44 30;;;[{'start': 0, 'end': 16}];;[{'start': 23, 'end': 36}];;;[{'start': 37, 'end': 45}];;[{'start': 46, 'end': 49}, {'start': 50, 'end': 60}];;;;;;[{'start': 61, 'end': 63}];;;;;[{'start': 64, 'end': 66}];;;;;;[{'start': 17, 'end': 22}];;;;
